ligandName,Frames,mode,complex,receptor,ligand,Internal,Van der Waals,Electrostatic,Polar Solvation,Non-Polar Solvation,Gas,Solvation,TOTAL,status
ligand,82,gb,1718.2065220000002,1680.6127751200002,75.34490775999998,-9.99999997919332e-05,-35.87139999999991,-10.191700000000289,12.710899999999969,-4.398860880000012,-46.062900000000106,8.312039119999957,-37.75086088000015,S
ligand,83,gb,1704.1434573600004,1656.9131408799994,83.01043175999999,2.469136006766348e-13,-35.0180999999999,-5.240299999999716,8.891200000000012,-4.412915280000004,-40.25839999999969,4.478284720000008,-35.780115279999684,S
ligand,84,gb,1693.8496107200008,1662.7262978400006,69.28905208,-0.0001000000002413,-37.72479999999998,-4.761200000000237,8.797400000000021,-4.477039199999991,-42.48600000000025,4.32036080000003,-38.16563920000023,S
ligand,85,gb,1632.8392566399996,1598.6959770400003,73.23351256,0.0001999999997632,-38.299000000000085,-8.014699999999968,11.8617,-4.638432959999993,-46.31370000000007,7.223267040000006,-39.09043296000007,S
ligand,86,gb,1712.6252730399997,1679.8395402400004,71.34160856000001,1.5099033134902131e-13,-37.74839999999999,-6.583500000000279,10.148499999999988,-4.372475760000011,-44.3319000000002,5.776024239999977,-38.55587576000022,S
ligand,87,gb,1675.9480466399998,1638.8190339200005,71.97550808,-9.999999998200336e-05,-33.803099999999844,-7.13859999999998,10.259200000000018,-4.163895360000009,-40.94179999999963,6.095304640000009,-34.84649535999962,S
ligand,88,gb,1738.4559477600003,1701.3527980000006,73.14292472000001,-9.99999999233836e-05,-34.57659999999986,-6.6064000000000975,9.636299999999997,-4.492974959999998,-41.1829999999999,5.143325039999997,-36.0396749599999,S
ligand,89,gb,1713.1826548800004,1685.35463456,69.23322688,0.000199999999813,-39.54180000000005,-7.123399999999661,9.9579,-4.698106559999991,-46.66519999999979,5.259793440000008,-41.40540655999978,S
ligand,90,gb,1743.72030168,1706.30153528,77.15136088000001,-9.99999999393708e-05,-38.01800000000022,-7.644500000000036,10.726400000000057,-4.796394480000001,-45.662500000000406,5.930005520000054,-39.73249448000036,S
ligand,91,gb,1777.5962060800002,1737.3060000799992,78.67808472,-9.999999997134525e-05,-36.90240000000003,-6.993599999999965,10.006800000000004,-4.49857872,-43.89609999999987,5.508221280000005,-38.38787871999986,S
ligand,92,gb,1727.2882500799994,1695.2977508,70.64231264000001,-2.273736754432321e-13,-36.829399999999936,-8.706400000000265,11.388100000000112,-4.504113359999995,-45.53570000000032,6.883986640000116,-38.65171336000021,S
ligand,93,gb,1742.280529999999,1706.2301098399994,80.24294712000001,-0.0001000000002449,-42.51229999999998,-7.177100000000125,10.389799999999966,-4.8928269600000025,-49.68929999999998,5.496973039999963,-44.19232696000002,S
ligand,94,gb,1669.1067172000005,1636.0783460800003,74.15314119999998,0.0001000000000246,-39.21820000000001,-8.799099999999944,11.508899999999922,-4.6164700800000045,-48.01719999999991,6.892429919999918,-41.12477008,S
ligand,95,gb,1771.41549664,1740.0439818400002,73.44671984000001,2.149391775674303e-13,-40.5699000000001,-5.544300000000219,8.827900000000056,-4.788905040000014,-46.11410000000027,4.038994960000043,-42.075105040000224,S
ligand,96,gb,1756.402516159999,1718.4671688800004,75.89257400000001,1.1901590823981678e-13,-36.80190000000012,-5.687099999999903,8.731299999999994,-4.199526719999984,-42.48900000000013,4.53177328000001,-37.95722672000012,S
ligand,97,gb,1615.2945046399996,1590.2609219200003,65.72546288,-9.592326932761353e-14,-39.23599999999991,-7.245999999999949,10.633399999999964,-4.843280160000001,-46.48189999999993,5.790119839999964,-40.691780159999965,S
ligand,98,gb,1708.236625360001,1666.6908136800002,78.08985448,2.664535259100376e-14,-35.12740000000008,-5.63459999999975,8.511400000000076,-4.293442799999991,-40.76210000000002,4.217957200000086,-36.54414279999993,S
ligand,99,gb,1679.0431208800003,1639.11353688,79.48711376,0.0002000000003068,-37.69740000000006,-7.925899999999999,10.698200000000051,-4.632629760000004,-45.62340000000012,6.065570240000049,-39.55782976000006,S
ligand,100,gb,1724.9128832000006,1684.33489136,81.2779192,-0.0002000000000599,-39.25809999999992,-6.859499999999716,9.896300000000036,-4.478427359999994,-46.11759999999983,5.417872640000041,-40.69972735999978,S
ligand,101,gb,1711.4461888800006,1663.72958568,84.52448199999998,9.999999974930064e-05,-35.28100000000005,-7.83989999999959,10.632499999999986,-4.319578800000006,-43.12089999999976,6.31292119999998,-36.80797879999977,S
